Region	Name	Address	County	Postcode	Phone Number	Latitude	Longitude	Grid Ref	OS Map	Year	Email	Web	Notes
East Midlands	Hartington Hall	Hall Bank, Hartington, Buxton	Derbyshire	SK17 0AT	0845 371 9740	53.140123	-1.804622	SK 132 603	119	1934	hartington@yha.org.uk	http://www.yha.org.uk/hostel/hartington	
East Midlands	Hathersage	Castleton Road, Hathersage, Hope Valley	Derbyshire	S32 1EH	0845 371 9021	53.329896	-1.658796	SK 228 815	110	1970	hathersage@yha.org.uk	http://www.yha.org.uk/hostel/hathersage	
East Midlands	Ravenstor	Millers Dale, Buxton	Derbyshire	SK17 8SS	0845 371 9655	53.256286	-1.772844	SK 153 733	119	1938	ravenstor@yha.org.uk	http://www.yha.org.uk/hostel/ravenstor	
East Midlands	Sherwood Forest	Forest Corner, Edwinstowe	Nottinghamshire	NG21 9RN	0845 371 9139	53.197656	-1.067374	SK 624 671	120	1998	sherwood@yha.org.uk	http://www.yha.org.uk/hostel/sherwood-forest	
East Midlands	Taddington Camping Barn	The Woodlands, Main Road, Taddington, Nr. Buxton	Derbyshire	SK17 9UD	0800 0191 700	53.235890	-1.784140	SK 145 710	119		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/taddington-camping-barn	
East Midlands	Thurlby	16 High Street, Thurlby, Bourne	Lincolnshire	PE10 0EE	0845 371 9046	52.738278	-0.371507	TF 100 169	130	1981	thurlby@yha.org.uk	http://www.yha.org.uk/hostel/thurlby	
East Midlands	Woody's Top	Ruckland, Louth	Lincolnshire	LN11 8RQ	0845 371 9546	53.284560	-0.000170	TF 334 783	122	1949	woodystop@yha.org.uk	http://www.yha.org.uk/hostel/woodys-top	
East Midlands	Youlgreave	Fountain Square, Youlgreave, near Bakewell	Derbyshire	DE45 1UR	0845 371 9151	53.174997	-1.686490	SK 211 643	119	1975	youlgreave@yha.org.uk	http://www.yha.org.uk/hostel/youlgreave	
East of England	Blaxhall	The Old School House, Blaxhall, Woodbridge	Suffolk	IP12 2EA	0845 371 9305	52.160675	1.461941	TM 369 570	156	1964	blaxhall@yha.org.uk	http://www.yha.org.uk/hostel/blaxhall	
East of England	Cambridge	97 Tenison Road, Cambridge	Cambridgeshire	CB1 2DN	0845 371 9728	52.196688	0.135516	TL 461 575	154	1945	cambridge@yha.org.uk	http://www.yha.org.uk/hostel/cambridge	
East of England	Hunstanton	15 Avenue Road, Hunstanton	Norfolk	PE36 5BW	01485 532061	52.936991	0.488189	TF 673 406	132		hunstanton@yha.org.uk	http://www.yha.org.uk/hostel/hunstanton	
East of England	Sheringham	1 Cremer's Drift, Sheringham	Norfolk	NR26 8HX	0845 371 9040	52.939587	1.212643	TG 160 429	133	1976	sheringham@yha.org.uk	http://www.yha.org.uk/hostel/sheringham	
East of England	Stour Valley Bunkhouse	Brantham Hall, The Chase, Brantham, Nr Manningtee	Suffolk	CO11 1PT	01473 327090	51.963318	1.083875	TM 120 339	155		stourvalley@yha.org.uk	http://www.yha.org.uk/hostel/stour-valley-bunkhouse	
East of England	Wells-next-the-Sea	Church Plain, Wells	Norfolk	NR23 1EQ	0845 371 9544	52.951649	0.853195	TF 918 432	132	2002	wellsnorfolk@yha.org.uk	http://www.yha.org.uk/hostel/wells-next-sea	
Heart of England	All Stretton Bunkhouse	Meadow Green, Batch Valley, All Stretton	Shropshire	SY6 6JW	01694 722593	52.554822	-2.806626	SO 454 955	137	2007	info@allstrettonbunkhouse.co.uk	http://www.yha.org.uk/hostel/all-stretton-bunkhouse	
Heart of England	Bridges	Ratlinghope, Shrewsbury	Shropshire	SY5 0SP	01588 650656	52.563080	-2.895520	SO 394 965	137	1931	bridges@yha.org.uk	http://www.yha.org.uk/hostel/bridges	
Heart of England	Butterton A Camping Barn	Fenns House, Wetton Road, Butterton, Leek	Staffordshire	ST13 7ST	0800 0191700	53.101850	-1.870130	SK 088 561	118/119		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/butterton-camping-barn	
Heart of England	Butterton B Camping Barn	Fenns House, Wetton Road, Butterton, Leek	Staffordshire	ST13 7ST	0800 0191700	53.104600	-1.878250	SK 082 564	118/119		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/butterton-b-camping-barn	
Heart of England	Clun	The Mill, Clun, Craven Arms	Shropshire	SY7 8NY	0845 371 9112	52.424954	-3.025661	SO 304 813	137	1936	clunmill@yha.org.uk	http://www.yha.org.uk/hostel/clun	
Heart of England	Dimmingsdale	Oakamoor, Stoke-on-Trent	Staffordshire	ST10 3AS	0845 371 9513	52.990125	-1.923098	SK 053 436	119	1941	dimmingsdale@yha.org.uk	http://www.yha.org.uk/hostel/dimmingsdale	
Heart of England	Gradbach	Gradbach, Quarnford, Buxton	Derbyshire	SK17 0SU	0845 371 9118	53.191745	-2.010871	SJ 994 661	118	1981	gradbachmill@yha.org.uk	http://www.yha.org.uk/hostel/gradbach	
Heart of England	Ilam Hall	Ilam Hall, Ilam, Ashbourne	Derbyshire	DE6 2AZ	0845 371 9023	53.053087	-1.805223	SK 132 507	119	1932	ilam@yha.org.uk	http://www.yha.org.uk/hostel/ilam	
Heart of England	Ironbridge Coalbrookdale	1 Paradise, Coalbrookdale, Telford	Shropshire	TF8 7NR	0845 371 9325	52.635508	-2.488607	SJ 670 043	127	1980	coalbrookdale@yha.org.uk	http://www.yha.org.uk/hostel/ironbridge-coalbrookdale	
Heart of England	Ironbridge Coalport	John Rose Building, High Street, Coalport	Shropshire	TF8 7HT	0845 371 9325	52.618843	-2.450477	SJ 696 024	127	1980	coalport@yha.org.uk	http://www.yha.org.uk/hostel/ironbridge-coalport	
Heart of England	Kington	Victoria Road, Kington	Herefordshire	HR5 3BX	0845 371 9053	52.205325	-3.024400	SO 301 568	148	2004	kington@yha.org.uk	http://www.yha.org.uk/hostel/kington	
Heart of England	Leominster	The Old Priory, Leominster	Herefordshire	HR6 8EQ	0845 371 9127	52.229900	-2.736100	SO 498 593	149	2001	leominster@yha.org.uk	http://www.yha.org.uk/hostel/leominster	
Heart of England	Nab End Camping Barn	Nab End Farm, Hollinsclough, Longnor, Buxton	Derbyshire	SK17 0RJ	0800 0191 700	53.192980	-1.887470	SK 076 662	119		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/nab-end-camping-barn	
Heart of England	National Forest	48 Bath Lane, Moira, Swadlincote	Derbyshire	DE12 6BD	0845 371 9672	52.737864	-1.548793	SK 306 157	128	2008	nationalforest@yha.org.uk	http://www.yha.org.uk/hostel/national-forest	
Heart of England	Sheen Bunkhouse	Peakstones, Sheen	Derbyshire	SK17 0ES	0845 371 9539	53.149206	-1.832359	SK 113 614	119		sheen@yha.org.uk	http://www.yha.org.uk/hostel/sheen-bunkhouse	
Heart of England	Stratford	Hemmingford House, Alveston, Stratford-upon-Avon	Warwickshire	CV37 7RG	0845 371 9661	52.203665	-1.663415	SP 231 562	151	1948	stratford@yha.org.uk	http://www.yha.org.uk/hostel/stratford	
Heart of England	Underbank Camping Barn	Blaze Farm, Wildboarclough, Macclesfield	Cheshire	SK11 0BL	0800 0191 700	53.207110	-2.041500	SJ 973 678	118		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/underbank-camping-barn	
Heart of England	Wilderhope Manor	Longville in the Dale	Shropshire	TF13 6EG	0845 371 9149	52.531842	-2.671818	SO 545 929	137	1938	wilderhope@yha.org.uk	http://www.yha.org.uk/hostel/wilderhope	
Heart of England	Wye Valley	Near Goodrich, Ross-on-Wye	Herefordshire	HR9 6JJ	0845 371 9666	51.856629	-2.594785	SO 591 177			welshbicknor@yha.org.uk	http://www.yha.org.uk/hostel/wye-valley	
London	London Central	104 Bolsover Street	Hertfordshire	EN8 9AJ	0845 371 9057	51.521335	-0.142441	TQ 290 819	177	2003	leevalley@yha.org.uk	http://www.yha.org.uk/hostel/london-central	
London	London Earls Court	38 Bolton Gardens, Earl's Court	London	W1W 5NU	0845 371 9154	51.490384	-0.189243	TQ 258 784	176	2008	londoncentral@yha.org.uk	http://www.yha.org.uk/hostel/london-earls-court	
London	London Holland Park	Holland Park, Holland Walk, Kensington	London	SW5 0AQ	0845 371 9114	51.502630	-0.201388	TQ 249 797	176	1952	earlscourt@yha.org.uk	http://www.yha.org.uk/hostel/london-holland-park	
London	London Lee Valley	Windmill Lane, Cheshunt	London	W8 7QU	0845 371 9122	51.704035	-0.022321	TL 368 024	166	1958	hollandpark@yha.org.uk	http://www.yha.org.uk/hostel/london-lee-valley	
London	London Oxford Street	14 Noel Street	London	W1F 8GJ	0845 371 9133	51.514819	-0.136818	TQ 294 812	176	1991	oxfordst@yha.org.uk	http://www.yha.org.uk/hostel/london-oxford-street	
London	London St Pancras	79-81 Euston Road	London	NW1 2QE	0845 371 9344	51.528809	-0.126498	TQ 301 828	176	1997	stpancras@yha.org.uk	http://www.yha.org.uk/hostel/london-st-pancras	
London	London St Pauls	St Pauls, 36 Carter Lane	London	EC4V 5AB	0845 371 9012	51.513109	-0.100406	TQ 319 811	176	1975	stpauls@yha.org.uk	http://www.yha.org.uk/hostel/london-st-pauls	
London	London Thameside	20 Salter Road, Rotherhithe	London	SE16 5PR	0845 371 9756	51.504370	-0.046370	TQ 357 802	177	1992	thameside@yha.org.uk	http://www.yha.org.uk/hostel/london-thameside	
North East	Alnwick	38 Green Batt, Alnwick	Northumberland	NE66 1TU	01665 660800	55.411739	-1.706076	NU 187 131	81		alnwick@yha.org.uk	http://www.yha.org.uk/hostel/alnwick	
North East	Bellingham Bunkhouse	Demesne Farm, Bellingham, Hexham	Northumberland	NE48 2BS	01434 220258	55.143627	-2.252522	NY 840 833	80	2008	bellingham@yha.org.uk	http://www.yha.org.uk/hostel/bellingham-bunkhouse	
North East	Berwick	Dewars Lane Granary, Dewars Lane, Berwick-Upon-Tweed	Northumberland	TD15 1HJ	0845 371 9676	55.768011	-2.004699	NT 998 527	75	2011	berwick@yha.org.uk	http://www.yha.org.uk/hostel/berwick	
North East	Blackton Grange	Balderhead, Romaldkirk, Barnard Castle	County Durham	DL12 9UP	01833 650629	54.556990	-2.107840	NY 931 180	91		baldersdale@yha.org.uk	http://www.yha.org.uk/hostel/blackton-grange	
North East	Byrness	7 Otterburn Green, Byrness Village, Near Otterburn	Northumberland	NE19 1TS	01830 520425	55.318100	-2.372700	NT 764 027	90	1972	byrness@yha.org.uk	http://www.yha.org.uk/hostel/byrness	
North East	Durham	St Chad's College, 18 North Bailey	County Durham	DH1 3RH	0191 3343358	54.773200	-1.574600	NZ 275 421	88		durham@yha.org.uk	http://www.yha.org.uk/hostel/durham	
North East	Edmundbyers	Low House, Edmundbyers, Consett	County Durham	DH8 9NL	0845 371 9633	54.845396	-1.973816	NZ 018 501	87	1933	edmundbyers@yha.org.uk	http://www.yha.org.uk/hostel/edmundbyers	
North East	Holwick Camping Barn	Low Way Farm, Holwick, Middleton In Teesdale, Barnard Castle	County Durham	DL12 0NJ	0800 0191 700	54.638150	-2.135400	NY 914 270	92		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/holwick-camping-barn	
North East	Kielder	Butteryhaugh, Kielder Village, Hexham	Northumberland	NE48 1HQ	0845 371 9126	55.231858	-2.579525	NY 632 932	80	2002	kielder@yha.org.uk	http://www.yha.org.uk/hostel/kielder	
North East	Langdon Beck	Forest-in-Teesdale, Barnard Castle	County Durham	DL12 0XN	0845 371 9027	54.669200	-2.218251	NY 860 305	91	1937	langdonbeck@yha.org.uk	http://www.yha.org.uk/hostel/langdon-beck	
North East	Mounthooley Bunkhouse	College Valley, Kirk Newton, Wooler	Northumberland	NE71 6TX	01668 216358	55.496771	-2.189125	NT 882 226	74/75		mounthooley@yha.org.uk	http://www.yha.org.uk/hostel/mounthooley-bunkhouse	
North East	Ninebanks	Orchard House, Mohope, Ninebanks, Hexham	Northumberland	NE47 8DQ	0845 371 9533	54.856792	-2.357281	NY 772 514	86	1948	ninebanks@yha.org.uk	http://www.yha.org.uk/hostel/ninebanks	
North East	Once Brewed	Military Road, Bardon Mill	Northumberland	NE47 7AN	0845 371 9753	54.996081	-2.388306	NY 753 669	86	1934	oncebrewed@yha.org.uk	http://www.yha.org.uk/hostel/once-brewed	Roman Wall
North East	Wooler	30 Cheviot Street, Wooler	Northumberland	NE71 6LW	0845 371 9668	55.543716	-2.015297	NT 991 278	75	1954	wooler@yha.org.uk	http://www.yha.org.uk/hostel/wooler	
North West	Alston	The Firs, Alston	Cumbria	CA9 3RW	01434 381509	54.808934	-2.441886	NY 717 461	86	1976	alston@yha.org.uk	http://www.yha.org.uk/hostel/alston	
North West	Ambleside	Waterhead, Ambleside	Cumbria	LA22 0EU	0845 371 9620	54.419170	-2.961813	NY 377 031	90	1972	ambleside@yha.org.uk	http://www.yha.org.uk/hostel/ambleside	
North West	Arnside	Redhills Road, Arnside	Cumbria	LA5 0AT	0845 371 9722	54.197938	-2.841910	SD 452 783	97	1979	arnside@yha.org.uk	http://www.yha.org.uk/hostel/arnside	
North West	Black Sail	Black Sail Hut, Ennerdale, Cleator	Cumbria	CA23 3AY	0845 371 9680	54.500346	-3.244845	NY 195 124	89	1933	blacksail@yha.org.uk	http://www.yha.org.uk/hostel/black-sail	
North West	Borrowdale	Longthwaite, Borrowdale, Keswick	Cumbria	CA12 5XE	0845 371 9624	54.518760	-3.150390	NY 256 143	89/90	1939	borrowdale@yha.org.uk	http://www.yha.org.uk/hostel/borrowdale	
North West	Buttermere	Buttermere, Cockermouth	Cumbria	CA13 9XA	0845 371 9508	54.540418	-3.271598	NY 178 169	89	1956	buttermere@yha.org.uk	http://www.yha.org.uk/hostel/buttermere	
North West	Caldbeck Bunkhouse	Fellside Centre, Fellside, Wigton	Cumbria	CA7 8HA	01768 812280	54.728060	-3.080650	NY 305 375	85		caldbeck@yha.org.uk	http://www.yha.org.uk/hostel/caldbeck-bunkhouse	
North West	Carlisle	Old Brewery Residences, Bridge Lane, Caldewgate	Cumbria	CA2 5SR	0845 371 9510	54.895728	-2.945090	NY 395 561	85	1998	carlisle@yha.org.uk	http://www.yha.org.uk/hostel/carlisle	
North West	Chipping Camping Barn	Clark House Farm, Chipping, Nr Preston	Lancashire	PR3 2GQ	0800 019100	53.886650	-2.584820	SD 617 435	102		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/chipping-camping-barn	
North West	Cockermouth	Double Mills, Cockermouth	Cumbria	CA13 0DS	0845 371 9313	54.656128	-3.367444	NY 119 299	89	1933	cockermouth@yha.org.uk	http://www.yha.org.uk/hostel/cockermouth	
North West	Coniston Coppermines	Coniston	Cumbria	LA21 8HP	0845 371 9630	54.377599	-3.095299	SD 290 986	96	1932	coppermines@yha.org.uk	http://www.yha.org.uk/hostel/coniston-coppermines	
North West	Coniston Holly How	Holly How, Far End, Coniston	Cumbria	LA21 8DD	0845 371 9511	54.373310	-3.075600	SD 302 981	96	1950	conistonhh@yha.org.uk	http://www.yha.org.uk/hostel/coniston-holly-how	
North West	Downham Camping Barn	c/o West Lane Farmhouse, Downham, Clitheroe	Lancashire	BB7 4BS	0800 0191700	53.895890	-2.313930	SD 795 445	103		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/downham-camping-barn	
North West	Dufton	Dufton, Appleby	Cumbria	CA16 6DB	0845 371 9734	54.619877	-2.484206	NY 688 251	91	1975	dufton@yha.org.uk	http://www.yha.org.uk/hostel/dufton	
North West	Elterwater	Elterwater, Ambleside	Cumbria	LA22 9HX	0845 371 9017	54.432958	-3.038527	NY 327 047	90	1939	elterwater@yha.org.uk	http://www.yha.org.uk/hostel/elterwater	
North West	Ennerdale	Cat Crag, Ennerdale, Cleator	Cumbria	CA23 3AX	0845 371 9116	54.514804	-3.326677	NY 142 141	89	1970	ennerdale@yha.org.uk	http://www.yha.org.uk/hostel/ennerdale	
North West	Eskdale	Boot, Holmrook	Cumbria	CA19 1TH	0845 371 9317	54.398900	-3.241300	NY 195 011	89	1938	eskdale@yha.org.uk	http://www.yha.org.uk/hostel/eskdale	
North West	Grasmere Butharlyp Howe	Easedale Road, Grasmere	Cumbria	LA22 9QG	0845 371 9319	54.462200	-3.024655	NY 337 079	90	1959	grasmere@yha.org.uk	http://www.yha.org.uk/hostel/grasmere-butharlyp-howe	Butterlip How
North West	Hawkshead	Hawkshead, Ambleside	Cumbria	LA22 0QD	0845 371 9321	54.361697	-2.994753	SD 355 967	96	1942	hawkshead@yha.org.uk	http://www.yha.org.uk/hostel/hawkshead	
North West	Hawse End Bunkhouse	Hawse End Cottage, Portinscale, Keswick	Cumbria	CA12 5UE	01768 812280	54.579000	-3.161530	NY 250 210	90		hawesend@yha.org.uk	http://www.yha.org.uk/hostel/hawse-end-bunkhouse	
North West	Helvellyn	Greenside, Glenridding, Penrith	Cumbria	CA11 0QR	0845 371 9742	54.547756	-2.981393	NY 366 174	90	1948	helvellyn@yha.org.uk	http://www.yha.org.uk/hostel/helvellyn	
North West	High Gillerthwaite Camping Barn	High Gillerthwaite, Ennerdale	Cumbria	CA23 3AX	0800 0191 700	54.514820	-3.326690	NY 142 141	89		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/high-gillerthwaite-camping-barn	
North West	Honister Hause	Seatoller, Keswick	Cumbria	CA12 5XN	0845 371 9522	54.511433	-3.197834	NY 225 136	89	1942	honister@yha.org.uk	http://www.yha.org.uk/hostel/honister-hause	
North West	Keswick	Station Road, Keswick	Cumbria	CA12 5LH	0845 371 9746	54.602104	-3.135020	NY 268 236	89	1933	keswick@yha.org.uk	http://www.yha.org.uk/hostel/keswick	
North West	King's House, Slaidburn	King's House, Slaidburn, Clitheroe	Lancashire	BB7 3ER	0845 371 9343	53.966417	-2.441575	SD 711 524	103	1933	slaidburn@yha.org.uk	http://www.yha.org.uk/hostel/slaidburn	
North West	Langdale	High Close, Loughrigg, Ambleside	Cumbria	LA22 9HJ	0845 371 9748	54.438570	-3.021480	NY 338 053	90	1955	langdale@yha.org.uk	http://www.yha.org.uk/hostel/langdale	
North West	Liverpool	25 Tabley Street, off Wapping, Liverpool	Merseyside	L1 8EE	0845 371 9527	53.398000	-2.986300	SJ 345 895	108	1997	liverpool@yha.org.uk	http://www.yha.org.uk/hostel/liverpool	
North West	Manchester	Potato Wharf, Castlefield, Manchester	Manchester	M3 4NB	0845 371 9647	53.475618	-2.257352	SJ 830 977	109	1995	manchester@yha.org.uk	http://www.yha.org.uk/hostel/manchester	
North West	Patterdale	Patterdale, Penrith	Cumbria	CA11 0NW	0845 371 9337	54.532633	-2.930458	NY 399 157	90	1971	patterdale@yha.org.uk	http://www.yha.org.uk/hostel/patterdale	
North West	Skiddaw Bunkhouse	Bassenthwaite, Keswick	Cumbria	CA12 4QX	07747 174293	54.652016	-3.106266	NY 287 291	89	2007	skiddaw@yha.org.uk	http://www.yha.org.uk/hostel/skiddaw-bunkhouse	
North West	Trawden Camping Barn	Middle Beardshaw Farm, Burnley Road, Trawden	Lancashire	BB8 8PP	0800 0191 700	53.839507	-2.146170	SD 905 382	103		campingbarns@yha.org.uk	http://www.yha.org.uk/barn/trawden-camping-barn	
North West	Wastwater	Wasdale Hall, Wasdale, Seascale	Cumbria	CA20 1ET	0845 371 9350	54.428558	-3.319706	NY 145 045	89	1969	wastwater@yha.org.uk	http://www.yha.org.uk/hostel/wastwater	
North West	Windermere	Bridge Lane, Troutbeck, Windermere	Cumbria	LA23 1LA	0845 371 9352	54.403862	-2.917495	NY 405 013	90	1935	windermere@yha.org.uk	http://www.yha.org.uk/hostel/windermere	
Scotland - Highlands	Aberdeen	8 Queen's Road Aberdeen		AB15 4ZT	01224 646988	57.142550	-2.130950	NJ 922057			aberdeen@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/aberdeen.aspx	
Scotland - Highlands	Achininver	Achiltibuie Ullapool		IV26 2YL	01854 622482	57.996920	-5.313530	NC 043057			achininver@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/achininver.aspx	
Scotland - Highlands	Achmelvich Beach	Recharn Lairg		IV27 4JB	01571 844480	58.169703	-5.300662	NC 060248			achmelvich@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/achmelvich-beach.aspx	
Scotland - Highlands	Applecross	Hartfield House Applecross		IV54 8ND	01520 744 333	57.444870	-5.813310	NG 713458			info@hartfieldhouse.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/applecross.aspx	
Scotland - Highlands	Aviemore	25 Grampian Road Aviemore		PH22 1PR	01479 810345	57.184290	-3.832960	NH 893119			aviemore@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/aviemore.aspx	
Scotland - Highlands	Braemar	Corrie Feragie 21 Glenshee Road		AB35 5YQ	01339 741659	57.002457	-3.392552	NO 155910			braemar@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/braemar.aspx	
Scotland - Highlands	Cairngorm Lodge	Glenmore Aviemore		PH22 1QY	01479 861238	57.167990	-3.694290	NH 976098			cairngormlodge@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/cairngorm-lodge.aspx	
Scotland - Highlands	Carrbridge	Slochd Carrbridge		PH23 3AY	01479 841 666	57.290210	-3.912900	NH 848238			slochd666@aol.com	http://www.syha.org.uk/hostels-in-scotland/highlands/carrbridge.aspx	
Scotland - Highlands	Crianlarich	Station Road Crianlarich		FK20 8QN	01838 300260	56.391880	-4.616720	NN 386253			crianlarich@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/crianlarich.aspx	
Scotland - Highlands	Drumnadrochit	Loch Ness Backpackers Coiltie Farmhouse		IV63 6UN	0845 293 73 73	57.327870	-4.473730	NH 512291			info@lochness-backpackers.com	http://www.syha.org.uk/hostels-in-scotland/highlands/drumnadrochit.aspx	
Scotland - Highlands	Dunkeld - Jessie Mac's	Jessie Mac's Murthly Terrace		PH8 0BG	01350 727 324	56.558640	-3.576640	NO 032419			info@jessiemacs.co.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/dunkeld-jessie-macs.aspx	
Scotland - Highlands	Durness	Smoo Lairg		IV27 4QA	01971 511264	58.564013	-4.722012	NC 418672			durness@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/durness.aspx	
Scotland - Highlands	Fort Augustus	Morag's Lodge Bunoich Brae		PH32 4DG	0845 293 73 73	57.148180	-4.681850	NH 379096			infor@moragslodge.com	http://www.syha.org.uk/hostels-in-scotland/highlands/fort-augustus.aspx	
Scotland - Highlands	Gairloch Carn Dearg	Gairloch Ross-shire		IV21 2DJ	01445 712219	57.732430	-5.759020	NG 763776			carndearg@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/gairloch-carn-dearg.aspx	
Scotland - Highlands	Glen Affric	Allt Beithe Glen Affric		IV4 7ND	0845 293 7373	57.388700	-4.679680	NH 390363			reservations@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/glen-affric.aspx	
Scotland - Highlands	Glen Nevis	Glen Nevis Fort William		PH33 6SY	01397 702336	56.799780	-5.067590	NN 128718			glen.nevis@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/glen-nevis.aspx	
Scotland - Highlands	Glen Urquhart	Bearnock Country Centre Glen Urquhart		IV63 6TN	07780 60 30 45	57.336690	-4.627010	NH 420304			info@bcclochnesshostel.co.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/glen-urquhart.aspx	
Scotland - Highlands	Glencoe	Glencoe Ballachulish		PH49 4HX	01855 811219	56.672222	-5.073774	NN 118576			glencoe@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/glencoe.aspx	
Scotland - Highlands	Grantown-on-Spey	Ardenbeg Bunkhouse Grant Road		PH26 3LD	0845 293 73 73	57.330380	-3.611480	NJ 031278			enquiries@ardenbeg.co.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/grantown-on-spey.aspx	
Scotland - Highlands	Helmsdale	Helmsdale Sutherland		KW8 6JR	01431 821636	58.117250	-3.649000	ND 030154			irene.drummond@btinternet.com	http://www.syha.org.uk/hostels-in-scotland/highlands/helmsdale.aspx	
Scotland - Highlands	Invergarry Lodge	Mandally Road Invergarry		PH35 4HP	0845 293 73 73	57.067030	-4.800910	NH 303008			mail@invergarrylodge.co.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/invergarry-lodge.aspx	
Scotland - Highlands	Inverness	Victoria Drive Inverness		IV2 3QB	01463 231771	57.480340	-4.212510	NH 674455			inverness@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/inverness.aspx	
Scotland - Highlands	Inverness Hillview House	24 Merlewood Road Inverness		IV2 4NL	7581111200	57.463010	-4.223290	NH 667436			info@invernesshostel.co.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/inverness-hillview-house.aspx	
Scotland - Highlands	Kinloss	The Loft East Grange Farm		IV36 2UD	01343 850 111	57.633790	-3.525290	NJ 090615			theloft@eastgrange.co.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/kinloss.aspx	
Scotland - Highlands	Loch Ness	Glenmoriston Inverness-shire		IV63 7YD	01320 351 274	57.237220	-4.557380	NH 458192			lochness@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/loch-ness.aspx	
Scotland - Highlands	Loch Ossian	Corrour By Fort William		PH30 4AA	01397 732207	56.792160	-4.601610	NN 412698			lochossian@syha.org.uk	http://www.syha.org.uk/hostels-in-scotland/highlands/loch-ossian.aspx	
